date,event_id,selected_entity,opponent,tourney_id,tourney_name,round,selected_rank,opponent_rank
2024-12-30,T3HIST-d82828b31e4f5bc43d95,Alexander Zverev,Zhizhen Zhang,2025-9900,United Cup,RR,2,45
2024-12-29,T3HIST-2749a332bbd0cf19a555,Alexander Zverev,Thiago Monteiro,2025-9900,United Cup,RR,2,109
2025-02-08,T3HIST-c1a6d1cbfa8b51abd175,Carlos Alcaraz,Hubert Hurkacz,2025-0407,Rotterdam,SF,3,21
2025-02-07,T3HIST-bb0723972f575ceb0eca,Carlos Alcaraz,Pedro Martinez,2025-0407,Rotterdam,QF,3,44
2025-02-06,T3HIST-928d7de20a431f18acc1,Carlos Alcaraz,Andrea Vavassori,2025-0407,Rotterdam,R16,3,317
2025-02-04,T3HIST-5e58aa4ea4270adbde2d,Carlos Alcaraz,Botic Van De Zandschulp,2025-0407,Rotterdam,R32,3,84
2025-02-15,T3HIST-5e76fc4d49b5bef4bc18,Alexander Zverev,Francisco Cerundolo,2025-0506,Buenos Aires,QF,2,28
2025-02-12,T3HIST-f179d59009ed37a425ac,Alexander Zverev,Dusan Lajovic,2025-0506,Buenos Aires,R16,2,81
2025-02-20,T3HIST-08f4808e2d7691b503d9,Carlos Alcaraz,Jiri Lehecka,2025-0451,Doha,QF,3,25
2025-02-19,T3HIST-9d2f82118c4dd4ddf086,Carlos Alcaraz,Luca Nardi,2025-0451,Doha,R16,3,85
2025-02-17,T3HIST-1109fc7019d49d6a3be7,Carlos Alcaraz,Marin Cilic,2025-0451,Doha,R32,3,192
2025-02-21,T3HIST-6be411fb1590eda59b68,Alexander Zverev,Francisco Comesana,2025-6932,Rio de Janeiro,QF,2,86
2025-02-20,T3HIST-72c1b96655e2b3e618b2,Alexander Zverev,Alexander Shevchenko,2025-6932,Rio de Janeiro,R16,2,103
2025-02-18,T3HIST-f69873845e83448bc131,Alexander Zverev,Bu Yunchaokete,2025-6932,Rio de Janeiro,R32,2,69
2025-02-27,T3HIST-10774bef35c58bd6288e,Alexander Zverev,Learner Tien,2025-0807,Acapulco,R16,2,83
2025-02-26,T3HIST-e94b3b2528970ffa3ca6,Alexander Zverev,Matteo Arnaldi,2025-0807,Acapulco,R32,2,33
2025-03-15,T3HIST-481c61c40bb2ddcd986a,Carlos Alcaraz,Jack Draper,2025-0404,Indian Wells Masters,SF,3,14
2025-03-14,T3HIST-0ff7ddd1a07aa8708cda,Carlos Alcaraz,Francisco Cerundolo,2025-0404,Indian Wells Masters,QF,3,26
2025-03-13,T3HIST-4ea95c940d7fe8ea7abf,Carlos Alcaraz,Grigor Dimitrov,2025-0404,Indian Wells Masters,R16,3,15
2025-03-11,T3HIST-7a67796826c00fecf8ec,Carlos Alcaraz,Denis Shapovalov,2025-0404,Indian Wells Masters,R32,3,28
2025-03-07,T3HIST-af6dc36be021c4518f69,Alexander Zverev,Tallon Griekspoor,2025-0404,Indian Wells Masters,R64,2,43
2025-03-08,T3HIST-420bd1b7d9d77e5fa93d,Carlos Alcaraz,Quentin Halys,2025-0404,Indian Wells Masters,R64,3,59
2025-03-26,T3HIST-572b73b7e0f53e8b968a,Alexander Zverev,Arthur Fils,2025-0403,Miami Masters,R16,2,18
2025-03-24,T3HIST-3612404a5524626817cf,Alexander Zverev,Jordan Thompson,2025-0403,Miami Masters,R32,2,37
