date,match_active,home_candidate_count,home_selected_event,home_selected_entity,home_eligibility_state,away_candidate_count,away_selected_event,away_selected_entity,away_eligibility_state,coverage_category,union_covered,source_provenance
2007-08-03,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-08-04,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-08-05,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-08-06,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-08-07,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-08-08,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-08-09,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-08-10,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-08-11,True,2,2007-08-11|D1|Bayern Munich|Hansa Rostock,Bayern Munich,ELIGIBLE,0,,,NO_ELIGIBLE_EVENT,HOME_ONLY,True,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-08-12,True,2,2007-08-12|E0|Chelsea|Birmingham,Chelsea,ELIGIBLE,0,,,NO_ELIGIBLE_EVENT,HOME_ONLY,True,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-08-13,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-08-14,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-08-15,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-08-16,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-08-17,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-08-18,True,1,2007-08-18|N1|AZ Alkmaar|VVV Venlo,AZ Alkmaar,ELIGIBLE,0,,,NO_ELIGIBLE_EVENT,HOME_ONLY,True,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-08-19,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-08-20,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-08-21,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-08-22,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
