date,match_active,home_candidate,home_selected_event,plus0_5_candidate,plus0_5_selected_event,coverage_category,union_covered
2005-07-29,True,False,,False,,NEITHER,False
2005-07-30,True,False,,True,SC0|Motherwell|Celtic|AWAY,PLUS0_5_ONLY,True
2005-07-31,True,True,SC0|Rangers|Livingston,True,SC0|Rangers|Livingston|HOME,BOTH,True
2005-08-01,False,False,,False,,NEITHER,False
2005-08-02,False,False,,False,,NEITHER,False
2005-08-03,False,False,,False,,NEITHER,False
2005-08-04,False,False,,False,,NEITHER,False
2005-08-05,True,False,,True,D1|Bayern Munich|M'gladbach|HOME,PLUS0_5_ONLY,True
2005-08-06,True,False,,True,SC0|Celtic|Dundee United|HOME,PLUS0_5_ONLY,True
2005-08-07,True,False,,True,F1|Lyon|Strasbourg|HOME,PLUS0_5_ONLY,True
2005-08-08,False,False,,False,,NEITHER,False
2005-08-09,False,False,,False,,NEITHER,False
2005-08-10,False,False,,False,,NEITHER,False
2005-08-11,False,False,,False,,NEITHER,False
2005-08-12,True,False,,True,N1|AZ Alkmaar|Sparta|HOME,PLUS0_5_ONLY,True
2005-08-13,True,True,SC0|Celtic|Falkirk,True,SC0|Celtic|Falkirk|HOME,BOTH,True
2005-08-14,True,False,,True,E0|Wigan|Chelsea|AWAY,PLUS0_5_ONLY,True
2005-08-15,False,False,,False,,NEITHER,False
2005-08-16,False,False,,False,,NEITHER,False
2005-08-17,False,False,,False,,NEITHER,False
2005-08-18,False,False,,False,,NEITHER,False
2005-08-19,True,False,,True,P1|Sp Lisbon|Belenenses|HOME,PLUS0_5_ONLY,True
2005-08-20,True,True,B1|Club Brugge|Roeselare,True,B1|Club Brugge|Roeselare|HOME,BOTH,True
2005-08-21,True,True,P1|Porto|Est Amadora,True,P1|Porto|Est Amadora|HOME,BOTH,True
2005-08-22,True,False,,False,,NEITHER,False
2005-08-23,True,False,,False,,NEITHER,False
2005-08-24,True,True,E0|Chelsea|West Brom,True,E0|Chelsea|West Brom|HOME,BOTH,True
2005-08-25,False,False,,False,,NEITHER,False
2005-08-26,True,False,,False,,NEITHER,False
2005-08-27,True,True,SC0|Rangers|Hibernian,True,SC0|Rangers|Hibernian|HOME,BOTH,True
2005-08-28,True,True,I1|Inter|Treviso,True,I1|Inter|Treviso|HOME,BOTH,True
2005-08-29,True,False,,False,,NEITHER,False
2005-08-30,False,False,,False,,NEITHER,False
2005-08-31,False,False,,False,,NEITHER,False
2005-09-01,False,False,,False,,NEITHER,False
2005-09-02,False,False,,False,,NEITHER,False
2005-09-03,False,False,,False,,NEITHER,False
2005-09-04,False,False,,False,,NEITHER,False
2005-09-05,False,False,,False,,NEITHER,False
2005-09-06,False,False,,False,,NEITHER,False
2005-09-07,False,False,,False,,NEITHER,False
2005-09-08,False,False,,False,,NEITHER,False
2005-09-09,True,False,,False,,NEITHER,False
2005-09-10,True,True,E0|Chelsea|Sunderland,True,E0|Chelsea|Sunderland|HOME,BOTH,True
2005-09-11,True,True,B1|Standard|Beveren,True,B1|Standard|Beveren|HOME,BOTH,True
2005-09-12,True,False,,False,,NEITHER,False
2005-09-13,False,False,,False,,NEITHER,False
2005-09-14,False,False,,False,,NEITHER,False
2005-09-15,False,False,,False,,NEITHER,False
2005-09-16,True,False,,False,,NEITHER,False
2005-09-17,True,True,I1|Inter|Lecce,True,I1|Inter|Lecce|HOME,BOTH,True
2005-09-18,True,True,I1|Juventus|Ascoli,True,I1|Juventus|Ascoli|HOME,BOTH,True
2005-09-19,True,False,,True,E0|Arsenal|Everton|HOME,PLUS0_5_ONLY,True
2005-09-20,True,False,,True,D1|Ein Frankfurt|Bayern Munich|AWAY,PLUS0_5_ONLY,True
2005-09-21,True,True,B1|Anderlecht|Roeselare,True,B1|Anderlecht|Roeselare|HOME,BOTH,True
2005-09-22,True,False,,True,SP1|Real Madrid|Ath Bilbao|HOME,PLUS0_5_ONLY,True
2005-09-23,True,False,,False,,NEITHER,False
2005-09-24,True,True,SC0|Celtic|Inverness C,True,SC0|Celtic|Inverness C|HOME,BOTH,True
