date,league_code,HomeTeam,AwayTeam,B365H,B365D,B365A,p_home_novig,p_draw_novig,p_away_novig,selected_side,p_favorite_novig,selected_side_price,FTHG,FTAG,selected_team,contract,settlement,loss_margin
2005-07-30,SC0,Motherwell,Celtic,7.5,4.0,1.44,0.12371134020618557,0.23195876288659795,0.6443298969072165,AWAY,0.6443298969072165,1.44,4,4,Celtic,SELECTED PARTICIPANT +0.5,PASS,0
2005-07-31,SC0,Rangers,Livingston,1.14,6.5,21.0,0.8132260947274352,0.14262734584450404,0.04414655942806076,HOME,0.8132260947274352,1.14,3,0,Rangers,SELECTED PARTICIPANT +0.5,PASS,-3
2005-08-05,D1,Bayern Munich,M'gladbach,1.3,5.0,9.5,0.7159005275056518,0.18613413715146948,0.09796533534287867,HOME,0.7159005275056518,1.3,3,0,Bayern Munich,SELECTED PARTICIPANT +0.5,PASS,-3
2005-08-06,SC0,Celtic,Dundee United,1.22,5.5,9.5,0.7406094968107724,0.16428065201984407,0.09510985116938339,HOME,0.7406094968107724,1.22,2,0,Celtic,SELECTED PARTICIPANT +0.5,PASS,-2
2005-08-07,F1,Lyon,Strasbourg,1.4,3.75,7.5,0.641025641025641,0.2393162393162393,0.11965811965811965,HOME,0.641025641025641,1.4,1,0,Lyon,SELECTED PARTICIPANT +0.5,PASS,-1
2005-08-12,N1,AZ Alkmaar,Sparta,1.36,4.0,7.0,0.6517690875232774,0.22160148975791435,0.1266294227188082,HOME,0.6517690875232774,1.36,3,0,AZ Alkmaar,SELECTED PARTICIPANT +0.5,PASS,-3
2005-08-13,SC0,Celtic,Falkirk,1.11,7.0,13.0,0.803886925795053,0.12747349823321558,0.06863957597173147,HOME,0.803886925795053,1.11,3,1,Celtic,SELECTED PARTICIPANT +0.5,PASS,-2
2005-08-14,E0,Wigan,Chelsea,10.0,4.5,1.33,0.09310103445593841,0.20689118767986311,0.7000077778641985,AWAY,0.7000077778641985,1.33,0,1,Chelsea,SELECTED PARTICIPANT +0.5,PASS,-1
2005-08-19,P1,Sp Lisbon,Belenenses,1.36,4.2,9.0,0.6780025828669823,0.21954369349978475,0.1024537236332329,HOME,0.6780025828669823,1.36,2,1,Sp Lisbon,SELECTED PARTICIPANT +0.5,PASS,-1
2005-08-20,B1,Club Brugge,Roeselare,1.16,6.0,10.0,0.7637474541751528,0.14765784114052952,0.08859470468431771,HOME,0.7637474541751528,1.16,1,0,Club Brugge,SELECTED PARTICIPANT +0.5,PASS,-1
2005-08-21,P1,Porto,Est Amadora,1.16,5.5,11.0,0.7596685082872929,0.16022099447513813,0.08011049723756906,HOME,0.7596685082872929,1.16,1,0,Porto,SELECTED PARTICIPANT +0.5,PASS,-1
2005-08-24,E0,Chelsea,West Brom,1.2,5.5,17.0,0.7759336099585062,0.16929460580912864,0.054771784232365145,HOME,0.7759336099585062,1.2,4,0,Chelsea,SELECTED PARTICIPANT +0.5,PASS,-4
2005-08-27,SC0,Rangers,Hibernian,1.2,5.5,11.0,0.7534246575342467,0.16438356164383564,0.08219178082191782,HOME,0.7534246575342467,1.2,0,3,Rangers,SELECTED PARTICIPANT +0.5,FAIL,3
2005-08-28,I1,Inter,Treviso,1.16,5.5,13.0,0.7691480206540449,0.16222030981067126,0.068631669535284,HOME,0.7691480206540449,1.16,3,0,Inter,SELECTED PARTICIPANT +0.5,PASS,-3
2005-09-10,E0,Chelsea,Sunderland,1.12,7.5,19.0,0.8276222557788362,0.12359159019630621,0.04878615402485771,HOME,0.8276222557788362,1.12,2,0,Chelsea,SELECTED PARTICIPANT +0.5,PASS,-2
2005-09-11,B1,Standard,Beveren,1.16,5.5,13.0,0.7691480206540449,0.16222030981067126,0.068631669535284,HOME,0.7691480206540449,1.16,1,3,Standard,SELECTED PARTICIPANT +0.5,FAIL,2
2005-09-17,I1,Inter,Lecce,1.22,5.5,13.0,0.7600722865950887,0.1685978526629106,0.07132986074200064,HOME,0.7600722865950887,1.22,3,0,Inter,SELECTED PARTICIPANT +0.5,PASS,-3
2005-09-18,I1,Juventus,Ascoli,1.16,6.5,15.0,0.7963083959490362,0.14211042143090494,0.0615811826200588,HOME,0.7963083959490362,1.16,2,1,Juventus,SELECTED PARTICIPANT +0.5,PASS,-1
2005-09-19,E0,Arsenal,Everton,1.4,4.0,9.0,0.6642066420664207,0.23247232472324725,0.1033210332103321,HOME,0.6642066420664207,1.4,2,0,Arsenal,SELECTED PARTICIPANT +0.5,PASS,-2
