date,league_code,league,HomeTeam,AwayTeam,B365H,B365D,B365A,p_home_novig,FTHG,FTAG,settlement_available,pass_plus1_5,loss_margin
2008-08-10,SC0,Scotland Premiership,Celtic,St Mirren,1.17,6.5,17.0,0.8007536504945832,1,0,True,True,0
2008-08-16,E0,England Premier League,Arsenal,West Brom,1.2,6.5,15.0,0.7907542579075426,1,0,True,True,0
2008-08-23,SC0,Scotland Premiership,Celtic,Falkirk,1.2,6.5,13.0,0.783132530120482,3,0,True,True,0
2008-09-13,N1,Netherlands Eredivisie,PSV Eindhoven,Sparta,1.14,6.5,13.0,0.7917174177831914,1,0,True,True,0
2008-09-14,SP1,Spain La Liga,Real Madrid,Numancia,1.25,5.5,12.0,0.7510668563300142,4,3,True,True,0
2008-09-20,E0,England Premier League,Liverpool,Stoke,1.2,6.5,15.0,0.7907542579075426,0,0,True,True,0
2008-09-24,I1,Italy Serie A,Inter,Lecce,1.17,6.5,19.0,0.8054260279779569,1,0,True,True,0
2008-09-26,P1,Portugal Primeira Liga,Porto,Pacos Ferreira,1.17,6.5,23.0,0.8124337689862241,2,0,True,True,0
2008-09-27,N1,Netherlands Eredivisie,PSV Eindhoven,Volendam,1.14,7.5,17.0,0.820304960432349,1,0,True,True,0
2008-09-28,N1,Netherlands Eredivisie,Ajax,Vitesse,1.22,6.0,12.0,0.7662835249042146,3,0,True,True,0
2008-10-04,N1,Netherlands Eredivisie,PSV Eindhoven,Graafschap,1.17,6.5,12.0,0.782778864970646,3,0,True,True,0
2008-10-18,E0,England Premier League,Man United,West Brom,1.2,6.5,15.0,0.7907542579075426,4,0,True,True,0
2008-10-25,N1,Netherlands Eredivisie,AZ Alkmaar,Volendam,1.14,7.5,18.0,0.8228195282501372,3,0,True,True,0
2008-10-29,E0,England Premier League,Man United,West Ham,1.2,6.0,19.0,0.7916666666666667,2,0,True,True,0
2008-11-01,E0,England Premier League,Chelsea,Sunderland,1.17,6.5,21.0,0.8092485549132948,5,0,True,True,0
2008-11-08,SP1,Spain La Liga,Barcelona,Valladolid,1.17,6.5,18.0,0.8032128514056226,6,0,True,True,0
2008-11-09,N1,Netherlands Eredivisie,Ajax,Sparta,1.17,7.5,13.0,0.8025682182985554,5,2,True,True,0
2008-11-12,SC0,Scotland Premiership,Celtic,Kilmarnock,1.2,6.0,15.0,0.78125,3,0,True,True,0
2008-11-15,E0,England Premier League,Man United,Stoke,1.14,7.5,23.0,0.832247792734115,5,0,True,True,0
2008-11-16,I1,Italy Serie A,Milan,Chievo,1.22,5.5,15.0,0.7673704771649149,1,0,True,True,0
2008-11-22,D1,Germany Bundesliga,Bayern Munich,Cottbus,1.17,7.0,15.0,0.8031206975676917,4,1,True,True,0
2008-11-23,SP1,Spain La Liga,Barcelona,Getafe,1.18,7.0,15.0,0.8017715332926084,1,1,True,True,0
2008-11-29,SC0,Scotland Premiership,Celtic,Inverness C,1.2,6.0,13.0,0.7738095238095238,1,0,True,True,0
